model,task,accuracy,stderr,source_branch,n_questions,eval_setting
HuggingFaceH4__zephyr-7b-beta,wmdp_bio_rephrased_translated_vietnamese,0.3333333333,0.1360827635,evals_040425,12,0-shot
LLM-GAT__llama-3-8b-instruct-elm-checkpoint-8,tinyMMLU,0.5500000000,0.0497493719,evals_040425,100,0-shot
LLM-GAT__llama-3-8b-instruct-elm-checkpoint-8,wmdp_bio,0.3299293009,0.0131782140,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-elm-checkpoint-8,wmdp_bio,0.2780832679,0.0125578931,evals_040425,1273,1-shot
LLM-GAT__llama-3-8b-instruct-elm-checkpoint-8,wmdp_bio,0.2474469756,0.0120947091,evals_040425,1273,10-shot
LLM-GAT__llama-3-8b-instruct-elm-checkpoint-8,wmdp_bio,0.2576590731,0.0122577348,evals_040425,1273,3-shot
LLM-GAT__llama-3-8b-instruct-elm-checkpoint-8,wmdp_bio,0.2443047918,0.0120427349,evals_040425,1273,5-shot
LLM-GAT__llama-3-8b-instruct-elm-checkpoint-8,wmdp_bio,0.2725844462,0.0124803747,evals_040425,1273,multiturn_1-shot
LLM-GAT__llama-3-8b-instruct-elm-checkpoint-8,wmdp_bio,0.2741555381,0.0125027657,evals_040425,1273,multiturn_10-shot
LLM-GAT__llama-3-8b-instruct-elm-checkpoint-8,wmdp_bio,0.2867242734,0.0126749645,evals_040425,1273,multiturn_20-shot
LLM-GAT__llama-3-8b-instruct-elm-checkpoint-8,wmdp_bio,0.2584446190,0.0122699090,evals_040425,1273,multiturn_3-shot
LLM-GAT__llama-3-8b-instruct-elm-checkpoint-8,wmdp_bio,0.2717989002,0.0124691058,evals_040425,1273,multiturn_5-shot
LLM-GAT__llama-3-8b-instruct-elm-checkpoint-8,wmdp_bio_renellm_addChar,0.4687500000,0.0623778102,evals_040425,64,0-shot
LLM-GAT__llama-3-8b-instruct-elm-checkpoint-8,wmdp_bio_renellm_addChar_full,0.3809897879,0.0136110420,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-elm-checkpoint-8,wmdp_bio_renellm_changeOrder,0.3906250000,0.0609863086,evals_040425,64,0-shot
LLM-GAT__llama-3-8b-instruct-elm-checkpoint-8,wmdp_bio_renellm_languageMix,0.3437500000,0.0593698600,evals_040425,64,0-shot
LLM-GAT__llama-3-8b-instruct-elm-checkpoint-8,wmdp_bio_renellm_misrewriteSentence,0.3281250000,0.0586913250,evals_040425,64,0-shot
LLM-GAT__llama-3-8b-instruct-elm-checkpoint-8,wmdp_bio_renellm_shortenSentence,0.3281250000,0.0586913250,evals_040425,64,0-shot
LLM-GAT__llama-3-8b-instruct-elm-checkpoint-8,wmdp_bio_renellm_styleChange,0.4062500000,0.0613915377,evals_040425,64,0-shot
LLM-GAT__llama-3-8b-instruct-elm-checkpoint-8,wmdp_bio_rephrased_conversation,0.3519245876,0.0133851541,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-elm-checkpoint-8,wmdp_bio_rephrased_english_filler,0.3872741555,0.0136530021,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-elm-checkpoint-8,wmdp_bio_rephrased_hindi_filler,0.5467399843,0.0139524322,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-elm-checkpoint-8,wmdp_bio_rephrased_latin_filler,0.3503534957,0.0133714215,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-elm-checkpoint-8,wmdp_bio_rephrased_poem,0.3293932230,0.0131935142,evals_040425,1269,0-shot
LLM-GAT__llama-3-8b-instruct-elm-checkpoint-8,wmdp_bio_rephrased_replace_with_variables,0.3401413983,0.0132782544,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-elm-checkpoint-8,wmdp_bio_rephrased_technical_terms_removed_1,0.3150039277,0.0130193057,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-elm-checkpoint-8,wmdp_bio_rephrased_translated_farsi,0.3307148468,0.0131861569,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-elm-checkpoint-8,wmdp_bio_rephrased_translated_german,0.3024351925,0.0128734290,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-elm-checkpoint-8,wmdp_bio_rephrased_translated_korean,0.3150039277,0.0130193057,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-graddiff-checkpoint-8,tinyMMLU,0.3800000000,0.0485386444,evals_040425,100,0-shot
LLM-GAT__llama-3-8b-instruct-graddiff-checkpoint-8,wmdp_bio,0.2741555381,0.0125027657,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-graddiff-checkpoint-8,wmdp_bio_rephrased_conversation,0.2466614297,0.0120817967,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-graddiff-checkpoint-8,wmdp_bio_rephrased_english_filler,0.2498036135,0.0121331241,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-graddiff-checkpoint-8,wmdp_bio_rephrased_hindi_filler,0.2482325216,0.0121075677,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-graddiff-checkpoint-8,wmdp_bio_rephrased_latin_filler,0.2623723488,0.0123300099,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-graddiff-checkpoint-8,wmdp_bio_rephrased_poem,0.2466509062,0.0121006495,evals_040425,1269,0-shot
LLM-GAT__llama-3-8b-instruct-graddiff-checkpoint-8,wmdp_bio_rephrased_replace_with_variables,0.2882953653,0.0126956379,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-graddiff-checkpoint-8,wmdp_bio_rephrased_technical_terms_removed_1,0.2812254517,0.0126011289,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-graddiff-checkpoint-8,wmdp_bio_rephrased_translated_farsi,0.2608012569,0.0123061229,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-graddiff-checkpoint-8,wmdp_bio_rephrased_translated_german,0.2482325216,0.0121075677,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-graddiff-checkpoint-8,wmdp_bio_rephrased_translated_korean,0.2560879811,0.0122332312,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-pbj-checkpoint-8,tinyMMLU,0.6200000000,0.0485386444,evals_040425,100,0-shot
LLM-GAT__llama-3-8b-instruct-pbj-checkpoint-8,wmdp_bio,0.3228593873,0.0131048465,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-pbj-checkpoint-8,wmdp_bio_rephrased_conversation,0.3252160251,0.0131296802,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-pbj-checkpoint-8,wmdp_bio_rephrased_english_filler,0.3244304792,0.0131214444,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-pbj-checkpoint-8,wmdp_bio_rephrased_hindi_filler,0.3220738413,0.0130964841,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-pbj-checkpoint-8,wmdp_bio_rephrased_latin_filler,0.3252160251,0.0131296802,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-pbj-checkpoint-8,wmdp_bio_rephrased_poem,0.3522458629,0.0134090261,evals_040425,1269,0-shot
LLM-GAT__llama-3-8b-instruct-pbj-checkpoint-8,wmdp_bio_rephrased_replace_with_variables,0.3228593873,0.0131048465,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-pbj-checkpoint-8,wmdp_bio_rephrased_technical_terms_removed_1,0.3307148468,0.0131861569,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-pbj-checkpoint-8,wmdp_bio_rephrased_translated_farsi,0.3008641005,0.0128543993,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-pbj-checkpoint-8,wmdp_bio_rephrased_translated_german,0.3055773763,0.0129109538,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-pbj-checkpoint-8,wmdp_bio_rephrased_translated_korean,0.3032207384,0.0128828769,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-repnoise-checkpoint-8,tinyMMLU,0.3300000000,0.0470212718,evals_040425,100,0-shot
LLM-GAT__llama-3-8b-instruct-repnoise-checkpoint-8,wmdp_bio,0.2529457973,0.0121835988,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-repnoise-checkpoint-8,wmdp_bio_rephrased_conversation,0.2450903378,0.0120558097,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-repnoise-checkpoint-8,wmdp_bio_rephrased_english_filler,0.2458758837,0.0120688303,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-repnoise-checkpoint-8,wmdp_bio_rephrased_hindi_filler,0.2474469756,0.0120947091,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-repnoise-checkpoint-8,wmdp_bio_rephrased_latin_filler,0.2678711705,0.0124120221,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-repnoise-checkpoint-8,wmdp_bio_rephrased_poem,0.2466509062,0.0121006495,evals_040425,1269,0-shot
LLM-GAT__llama-3-8b-instruct-repnoise-checkpoint-8,wmdp_bio_rephrased_replace_with_variables,0.2505891595,0.0121458223,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-repnoise-checkpoint-8,wmdp_bio_rephrased_technical_terms_removed_1,0.2521602514,0.0121710595,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-repnoise-checkpoint-8,wmdp_bio_rephrased_translated_farsi,0.2474469756,0.0120947091,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-repnoise-checkpoint-8,wmdp_bio_rephrased_translated_german,0.2435192459,0.0120296055,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-repnoise-checkpoint-8,wmdp_bio_rephrased_translated_korean,0.2450903378,0.0120558097,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-rmu-checkpoint-8,tinyMMLU,0.5000000000,0.0500000000,evals_040425,100,0-shot
LLM-GAT__llama-3-8b-instruct-rmu-checkpoint-8,wmdp_bio,0.2733699921,0.0124915946,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-rmu-checkpoint-8,wmdp_bio_rephrased_conversation,0.2505891595,0.0121458223,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-rmu-checkpoint-8,wmdp_bio_rephrased_english_filler,0.2655145326,0.0123771755,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-rmu-checkpoint-8,wmdp_bio_rephrased_hindi_filler,0.2757266300,0.0125249619,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-rmu-checkpoint-8,wmdp_bio_rephrased_latin_filler,0.2835820896,0.0126330558,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-rmu-checkpoint-8,wmdp_bio_rephrased_poem,0.2860520095,0.0126860079,evals_040425,1269,0-shot
LLM-GAT__llama-3-8b-instruct-rmu-checkpoint-8,wmdp_bio_rephrased_replace_with_variables,0.2875098193,0.0126853245,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-rmu-checkpoint-8,wmdp_bio_rephrased_technical_terms_removed_1,0.2985074627,0.0128255182,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-rmu-checkpoint-8,wmdp_bio_rephrased_translated_farsi,0.2914375491,0.0127364272,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-rmu-checkpoint-8,wmdp_bio_rephrased_translated_german,0.2827965436,0.0126224609,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-rmu-checkpoint-8,wmdp_bio_rephrased_translated_korean,0.2663000786,0.0123888411,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-rmu-lat-checkpoint-8,tinyMMLU,0.4800000000,0.0499599840,evals_040425,100,0-shot
LLM-GAT__llama-3-8b-instruct-rmu-lat-checkpoint-8,wmdp_bio,0.3000785546,0.0128448172,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-rmu-lat-checkpoint-8,wmdp_bio_rephrased_conversation,0.2466614297,0.0120817967,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-rmu-lat-checkpoint-8,wmdp_bio_rephrased_english_filler,0.2827965436,0.0126224609,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-rmu-lat-checkpoint-8,wmdp_bio_rephrased_hindi_filler,0.2765121760,0.0125359872,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-rmu-lat-checkpoint-8,wmdp_bio_rephrased_latin_filler,0.3110761980,0.0129749228,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-rmu-lat-checkpoint-8,wmdp_bio_rephrased_poem,0.2781717888,0.0125788998,evals_040425,1269,0-shot
LLM-GAT__llama-3-8b-instruct-rmu-lat-checkpoint-8,wmdp_bio_rephrased_replace_with_variables,0.3173605656,0.0130454170,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-rmu-lat-checkpoint-8,wmdp_bio_rephrased_technical_terms_removed_1,0.2969363708,0.0128060388,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-rmu-lat-checkpoint-8,wmdp_bio_rephrased_translated_farsi,0.3071484682,0.0129294504,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-rmu-lat-checkpoint-8,wmdp_bio_rephrased_translated_german,0.2898664572,0.0127161251,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-rmu-lat-checkpoint-8,wmdp_bio_rephrased_translated_korean,0.2788688138,0.0125687738,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-rr-checkpoint-8,tinyMMLU,0.5700000000,0.0495075752,evals_040425,100,0-shot
LLM-GAT__llama-3-8b-instruct-rr-checkpoint-8,wmdp_bio,0.3244304792,0.0131214444,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-rr-checkpoint-8,wmdp_bio_rephrased_conversation,0.2969363708,0.0128060388,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-rr-checkpoint-8,wmdp_bio_rephrased_english_filler,0.2969363708,0.0128060388,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-rr-checkpoint-8,wmdp_bio_rephrased_hindi_filler,0.3228593873,0.0131048465,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-rr-checkpoint-8,wmdp_bio_rephrased_latin_filler,0.3267871170,0.0131460255,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-rr-checkpoint-8,wmdp_bio_rephrased_poem,0.3238770686,0.0131362717,evals_040425,1269,0-shot
LLM-GAT__llama-3-8b-instruct-rr-checkpoint-8,wmdp_bio_rephrased_replace_with_variables,0.3181461115,0.0130540349,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-rr-checkpoint-8,wmdp_bio_rephrased_technical_terms_removed_1,0.3102906520,0.0129659159,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-rr-checkpoint-8,wmdp_bio_rephrased_translated_farsi,0.3220738413,0.0130964841,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-rr-checkpoint-8,wmdp_bio_rephrased_translated_german,0.3024351925,0.0128734290,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-rr-checkpoint-8,wmdp_bio_rephrased_translated_korean,0.3087195601,0.0129477709,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-tar-checkpoint-8,tinyMMLU,0.5300000000,0.0499099189,evals_040425,100,0-shot
LLM-GAT__llama-3-8b-instruct-tar-checkpoint-8,wmdp_bio,0.2710133543,0.0124577878,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-tar-checkpoint-8,wmdp_bio_rephrased_conversation,0.2717989002,0.0124691058,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-tar-checkpoint-8,wmdp_bio_rephrased_english_filler,0.2953652789,0.0127863780,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-tar-checkpoint-8,wmdp_bio_rephrased_hindi_filler,0.3095051060,0.0129568653,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-tar-checkpoint-8,wmdp_bio_rephrased_latin_filler,0.2890809112,0.0127059047,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-tar-checkpoint-8,wmdp_bio_rephrased_poem,0.2789598109,0.0125898265,evals_040425,1269,0-shot
LLM-GAT__llama-3-8b-instruct-tar-checkpoint-8,wmdp_bio_rephrased_replace_with_variables,0.2631578947,0.0123418771,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-tar-checkpoint-8,wmdp_bio_rephrased_technical_terms_removed_1,0.2560879811,0.0122332312,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-tar-checkpoint-8,wmdp_bio_rephrased_translated_farsi,0.2882953653,0.0126956379,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-tar-checkpoint-8,wmdp_bio_rephrased_translated_german,0.2804399057,0.0125903916,evals_040425,1273,0-shot
LLM-GAT__llama-3-8b-instruct-tar-checkpoint-8,wmdp_bio_rephrased_translated_korean,0.2812254517,0.0126011289,evals_040425,1273,0-shot
Llama3-8B,tinyMMLU,0.6427000000,,lm_eval_prompting,,0-shot
Llama3-8B,wmdp_bio,0.7054000000,,lm_eval_prompting,,0-shot
Llama3-8B,wmdp_bio_rephrased_conversation,0.6991000000,,lm_eval_prompting,,0-shot
Llama3-8B,wmdp_bio_rephrased_english_filler,0.6929000000,,lm_eval_prompting,,0-shot
Llama3-8B,wmdp_bio_rephrased_hindi_filler,0.7054000000,,lm_eval_prompting,,0-shot
Llama3-8B,wmdp_bio_rephrased_latin_filler,0.7109000000,,lm_eval_prompting,,0-shot
Llama3-8B,wmdp_bio_rephrased_poem,0.6556000000,,lm_eval_prompting,,0-shot
Llama3-8B,wmdp_bio_rephrased_replace_with_variables,0.6591000000,,lm_eval_prompting,,0-shot
Llama3-8B,wmdp_bio_rephrased_technical_terms_removed_1,0.6245000000,,lm_eval_prompting,,0-shot
Llama3-8B,wmdp_bio_rephrased_translated_farsi,0.6394000000,,lm_eval_prompting,,0-shot
Llama3-8B,wmdp_bio_rephrased_translated_german,0.6866000000,,lm_eval_prompting,,0-shot
Llama3-8B,wmdp_bio_rephrased_translated_korean,0.6198000000,,lm_eval_prompting,,0-shot
Llama3-8B-ELM,tinyMMLU,0.6004000000,,lm_eval_prompting,,0-shot
Llama3-8B-ELM,wmdp_bio,0.3449000000,,lm_eval_prompting,,0-shot
Llama3-8B-ELM,wmdp_bio_rephrased_conversation,0.4438000000,,lm_eval_prompting,,0-shot
Llama3-8B-ELM,wmdp_bio_rephrased_english_filler,0.4077000000,,lm_eval_prompting,,0-shot
Llama3-8B-ELM,wmdp_bio_rephrased_hindi_filler,0.5923000000,,lm_eval_prompting,,0-shot
Llama3-8B-ELM,wmdp_bio_rephrased_latin_filler,0.3425000000,,lm_eval_prompting,,0-shot
Llama3-8B-ELM,wmdp_bio_rephrased_poem,0.3381000000,,lm_eval_prompting,,0-shot
Llama3-8B-ELM,wmdp_bio_rephrased_replace_with_variables,0.2938000000,,lm_eval_prompting,,0-shot
Llama3-8B-ELM,wmdp_bio_rephrased_technical_terms_removed_1,0.2993000000,,lm_eval_prompting,,0-shot
Llama3-8B-ELM,wmdp_bio_rephrased_translated_farsi,0.2946000000,,lm_eval_prompting,,0-shot
Llama3-8B-ELM,wmdp_bio_rephrased_translated_german,0.3024000000,,lm_eval_prompting,,0-shot
Llama3-8B-ELM,wmdp_bio_rephrased_translated_korean,0.2899000000,,lm_eval_prompting,,0-shot
Llama3-8B-Instruct,tinyMMLU,0.5921000000,,lm_eval_prompting,,0-shot
Llama3-8B-Instruct,wmdp_bio,0.7086000000,,lm_eval_prompting,,0-shot
Llama3-8B-Instruct,wmdp_bio_rephrased_conversation,0.7117000000,,lm_eval_prompting,,0-shot
Llama3-8B-Instruct,wmdp_bio_rephrased_english_filler,0.7054000000,,lm_eval_prompting,,0-shot
Llama3-8B-Instruct,wmdp_bio_rephrased_hindi_filler,0.7235000000,,lm_eval_prompting,,0-shot
Llama3-8B-Instruct,wmdp_bio_rephrased_latin_filler,0.7203000000,,lm_eval_prompting,,0-shot
Llama3-8B-Instruct,wmdp_bio_rephrased_poem,0.6801000000,,lm_eval_prompting,,0-shot
Llama3-8B-Instruct,wmdp_bio_rephrased_replace_with_variables,0.6630000000,,lm_eval_prompting,,0-shot
Llama3-8B-Instruct,wmdp_bio_rephrased_technical_terms_removed_1,0.6127000000,,lm_eval_prompting,,0-shot
Llama3-8B-Instruct,wmdp_bio_rephrased_translated_farsi,0.6528000000,,lm_eval_prompting,,0-shot
Llama3-8B-Instruct,wmdp_bio_rephrased_translated_german,0.6591000000,,lm_eval_prompting,,0-shot
Llama3-8B-Instruct,wmdp_bio_rephrased_translated_korean,0.6277000000,,lm_eval_prompting,,0-shot
Llama3-8B-Instruct-ELM,tinyMMLU,0.5741000000,,lm_eval_prompting,,0-shot
Llama3-8B-Instruct-ELM,wmdp_bio,0.3299000000,,lm_eval_prompting,,0-shot
Llama3-8B-Instruct-ELM,wmdp_bio_rephrased_conversation,0.3472000000,,lm_eval_prompting,,0-shot
Llama3-8B-Instruct-ELM,wmdp_bio_rephrased_english_filler,0.3959000000,,lm_eval_prompting,,0-shot
Llama3-8B-Instruct-ELM,wmdp_bio_rephrased_hindi_filler,0.5373000000,,lm_eval_prompting,,0-shot
Llama3-8B-Instruct-ELM,wmdp_bio_rephrased_latin_filler,0.3582000000,,lm_eval_prompting,,0-shot
Llama3-8B-Instruct-ELM,wmdp_bio_rephrased_poem,0.3278000000,,lm_eval_prompting,,0-shot
Llama3-8B-Instruct-ELM,wmdp_bio_rephrased_replace_with_variables,0.3378000000,,lm_eval_prompting,,0-shot
Llama3-8B-Instruct-ELM,wmdp_bio_rephrased_technical_terms_removed_1,0.2985000000,,lm_eval_prompting,,0-shot
Llama3-8B-Instruct-ELM,wmdp_bio_rephrased_translated_farsi,0.3040000000,,lm_eval_prompting,,0-shot
Llama3-8B-Instruct-ELM,wmdp_bio_rephrased_translated_german,0.3221000000,,lm_eval_prompting,,0-shot
Llama3-8B-Instruct-ELM,wmdp_bio_rephrased_translated_korean,0.3472000000,,lm_eval_prompting,,0-shot
Llama3-8B-RMU,tinyMMLU,0.5595000000,,lm_eval_prompting,,0-shot
Llama3-8B-RMU,wmdp_bio,0.2773000000,,lm_eval_prompting,,0-shot
Llama3-8B-RMU,wmdp_bio_rephrased_conversation,0.2529000000,,lm_eval_prompting,,0-shot
Llama3-8B-RMU,wmdp_bio_rephrased_english_filler,0.2781000000,,lm_eval_prompting,,0-shot
Llama3-8B-RMU,wmdp_bio_rephrased_hindi_filler,0.2797000000,,lm_eval_prompting,,0-shot
Llama3-8B-RMU,wmdp_bio_rephrased_latin_filler,0.2757000000,,lm_eval_prompting,,0-shot
Llama3-8B-RMU,wmdp_bio_rephrased_poem,0.2569000000,,lm_eval_prompting,,0-shot
Llama3-8B-RMU,wmdp_bio_rephrased_replace_with_variables,0.2781000000,,lm_eval_prompting,,0-shot
Llama3-8B-RMU,wmdp_bio_rephrased_technical_terms_removed_1,0.2828000000,,lm_eval_prompting,,0-shot
Llama3-8B-RMU,wmdp_bio_rephrased_translated_farsi,0.2789000000,,lm_eval_prompting,,0-shot
Llama3-8B-RMU,wmdp_bio_rephrased_translated_german,0.2773000000,,lm_eval_prompting,,0-shot
Llama3-8B-RMU,wmdp_bio_rephrased_translated_korean,0.2773000000,,lm_eval_prompting,,0-shot
Llama3-TAR-bio,tinyMMLU,0.4738000000,,lm_eval_prompting,,0-shot
Llama3-TAR-bio,wmdp_bio,0.2781000000,,lm_eval_prompting,,0-shot
Llama3-TAR-bio,wmdp_bio_rephrased_conversation,0.3032000000,,lm_eval_prompting,,0-shot
Llama3-TAR-bio,wmdp_bio_rephrased_english_filler,0.3103000000,,lm_eval_prompting,,0-shot
Llama3-TAR-bio,wmdp_bio_rephrased_hindi_filler,0.3032000000,,lm_eval_prompting,,0-shot
Llama3-TAR-bio,wmdp_bio_rephrased_latin_filler,0.3032000000,,lm_eval_prompting,,0-shot
